bustle 忙碌，繁忙
telling 难忘的
lobby 大厅
elementary 基本的，基础的
attendant 服务员
attach 系
slot 缝
tender 年幼的
bang 猛敲
harmless 无害的
exploratory 探索的
phenomenon 现象
initial 最初的
assist 帮助
insert 插入
reposition 改变位置
somewhat 有点
await 等待
occasion 场合
frown 皱眉
neglect 忽略
parental 父母的
incident 事件
relevant 相关的
investigate 调查
anecdote 趣闻
colleague 同事
desirable 值得向往的
accomplish 完成
sympathetically 同情地
critical 至关重要的
effective 有效的
principal 主要的
rear 养育
misdeed 不端行为
creative 独创的
retrospect 回顾
artistic 艺术的
intention 目的
observer 观察员
clumsy 笨拙地
facility 熟练
gentleness 轻柔，优雅
mold 塑造
performance 表现
traditional 传统的
apply 申请
continual 不断的
craft 手艺
reversal 颠倒的
priority 优先考虑的事
bold 勇敢的
departure 出发
inseparable 不可分离的
evolve 使逐步发展
originality 新颖
independence 独自
contrast 相反的
harbor 怀有
fearful 害怕
comparable 可比的
promote 促进
emerge 出现
overstate 夸大
enormous 巨大的
technological 技术的
innovation 革新
exaggerate 夸大
breakthrough 突破
valid 有根据地
foster 抚养
worthwhile 值得的
superior 优良的
proceed 从事做，接着做
calligrapher 书法家
bankruptcy 破产
declare 宣布
cluster 团，簇
simulate 模仿
spectacular 令人惊叹的
